year,stateabbr,statename,cityname,obesitypercentage,Population2010,latitude,longitude
2014,OK,Oklahoma,Oklahoma City,31,2579,35.59,-97.54
2014,OK,Oklahoma,Oklahoma City,31,3607,35.37,-97.44
2014,CA,California,Perris,31,9335,33.84,-117.23
2014,TX,Texas,Irving,31,6571,32.85,-97
2014,TX,Texas,Pasadena,31,8378,29.65,-95.19
2014,VA,Virginia,Norfolk,31,2579,36.93,-76.19
2014,AR,Arkansas,Little Rock,31,193524,34.73,-92.36
2014,TX,Texas,Edinburg,31,8169,26.3,-98.2
2014,TX,Texas,San Antonio,31,1533,29.48,-98.35
2014,NV,Nevada,Reno,31,3945,39.53,-119.8
2014,LA,Louisiana,Lafayette,31,4064,30.2,-92.08
2014,PA,Pennsylvania,Philadelphia,31,7645,40.03,-75.03
2014,NY,New York,New York,31,1246,40.57,-73.98
2014,GA,Georgia,Warner Robins,31,4181,32.61,-83.63
2014,MA,Massachusetts,Fall River,31,2682,41.69,-71.18
2014,WI,Wisconsin,Green Bay,31,4516,44.52,-88.12
2014,TX,Texas,Longview,31,150,32.49,-94.69
2014,KY,Kentucky,Louisville,31,5669,38.14,-85.86
2014,TN,Tennessee,Clarksville,31,4632,36.59,-87.39
2014,TX,Texas,Houston,31,4235,29.74,-95.37
2014,CA,California,Los Angeles,31,4113,34.01,-118.35
2014,NY,New York,New York,31,2127,40.68,-73.87
2014,TX,Texas,Carrollton,31,3615,32.96,-96.85
2014,GA,Georgia,Atlanta,31,2800,33.77,-84.37
2014,NY,New York,New York,31,3380,40.59,-73.82
2014,CA,California,San Diego,31,6148,32.74,-117.1
2014,TN,Tennessee,Nashville,31,3924,36.15,-86.65
2014,NE,Nebraska,Omaha,31,1846,41.31,-96.06
2014,CA,California,Concord,31,4996,37.95,-122.04
2014,CT,Connecticut,New Britain,31,73206,41.68,-72.79
2014,FL,Florida,Orlando,31,291,28.55,-81.31
2014,CA,California,Los Angeles,31,2310,34.22,-118.45
2014,PA,Pennsylvania,Scranton,31,2642,41.41,-75.66
2014,TX,Texas,Houston,31,8311,29.61,-95.26
2014,WV,West Virginia,Charleston,31,3824,38.35,-81.66
2014,CA,California,Riverside,31,4390,33.92,-117.45
2014,CA,California,Long Beach,31,3973,33.88,-118.16
2014,NY,New York,New York,31,2061,40.63,-73.96
2014,CA,California,Chula Vista,31,2348,32.6,-117.08
2014,OK,Oklahoma,Tulsa,31,3002,36.13,-95.88
2014,NY,New York,New York,31,2906,40.64,-73.92
2014,CA,California,Lancaster,31,7100,34.7,-118.09
2014,CA,California,Los Angeles,31,2274,34.02,-118.21
2014,CA,California,Los Angeles,31,3293,34.26,-118.43
2014,CA,California,Los Angeles,31,4057,34.22,-118.45
2014,MA,Massachusetts,Worcester,31,6592,42.23,-71.8
2014,NV,Nevada,North Las Vegas,31,3076,36.27,-115.15
2014,CA,California,Merced,31,3213,37.31,-120.49
2014,KY,Kentucky,Lexington,31,3156,38.09,-84.5
2014,DC,District of C,Washington,31,4480,38.97,-77.03
2014,IL,Illinois,Cicero,31,7654,41.83,-87.76
2014,NY,New York,New York,31,3984,40.76,-73.93
2014,TX,Texas,Longview,31,3499,32.52,-94.75
2014,TX,Texas,Amarillo,31,58,35.26,-101.86
2014,TX,Texas,Grand Prairie,31,6880,32.68,-97.05
2014,CA,California,Menifee,31,3863,33.75,-117.16
2014,WA,Washington,Tacoma,31,4742,47.26,-122.45
2014,AZ,Arizona,Phoenix,31,3833,33.49,-112.04
2014,CA,California,Antioch,31,4166,37.99,-121.82
2014,CA,California,Long Beach,31,5181,33.78,-118.17
2014,NY,New York,New York,31,2098,40.7,-73.8
2014,PA,Pennsylvania,Philadelphia,31,6243,39.92,-75.16
2014,TN,Tennessee,Nashville,31,4133,36.21,-86.73
2014,CA,California,Long Beach,31,6158,33.77,-118.19
